2021/07/19 13:53:06 [error] 9372#5672: *15597 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /landingpage/asd/ HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/landingpage/asd/"
2021/07/19 13:53:06 [error] 9372#5672: *15599 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /contact-us/ HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/contact-us/"
2021/07/19 13:53:06 [error] 9372#5672: *15598 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin.php?page=wpforms-builder&view=fields&form_id=206 HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/wp-admin/admin.php?page=wpforms-builder&view=fields&form_id=206"
2021/07/19 13:53:06 [error] 9372#5672: *15600 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/landingpage/asd/"
2021/07/19 13:53:06 [error] 9372#5672: *15601 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/contact-us/"
2021/07/19 13:53:06 [error] 9372#5672: *15602 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/wp-admin/admin.php?page=wpforms-builder&view=fields&form_id=206"
2021/07/19 13:53:08 [error] 9372#5672: *15603 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin.php?page=wpforms-builder&view=fields&form_id=206 HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/wp-admin/admin.php?page=wpforms-builder&view=fields&form_id=206"
2021/07/19 13:53:08 [error] 9372#5672: *15604 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /landingpage/asd/ HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/landingpage/asd/"
2021/07/19 13:53:08 [error] 9372#5672: *15605 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /contact-us/ HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/contact-us/"
2021/07/19 13:53:08 [error] 9372#5672: *15606 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/wp-admin/admin.php?page=wpforms-builder&view=fields&form_id=206"
2021/07/19 13:53:08 [error] 9372#5672: *15607 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/landingpage/asd/"
2021/07/19 13:53:08 [error] 9372#5672: *15608 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/contact-us/"
2021/07/19 13:53:09 [error] 9372#5672: *15609 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /landingpage/asd/ HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/landingpage/asd/"
2021/07/19 13:53:09 [error] 9372#5672: *15610 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/landingpage/asd/"
